step,lbm_open_boundary_semantics,row_role,step132_authority_sweep_candidate,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,midplane_flux,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.58145830855584,6.213408024637286,6.213408024637286,37.36805028391855,15.534137725830078,0.25,0.002,19.414989471435547,267.0044860839844,43.50697708129883,6.011909484863281,37.49506759643555,15.534137725830078,0.001835318747907877,0.001835318747907877,0.9176593739539385,0,0,0.0,0.0015097289578989148,0.0031553516164422035,0.00295168534416392,0.0,0.0,0:43.5814583086;24:0;47:6.21340802464,0.010102169606987229,False,False
50,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.78227480669423,7.104034028632725,7.104034028632725,36.67824077806151,23.936342239379883,0.25,0.002,21.161291122436523,797.1668090820312,43.77075958251953,7.107322692871094,36.66343688964844,23.936342239379883,0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,22,0.44,0.0008271355764009058,0.0036837998777627945,0.0033775863329501866,0.0,47.97676606596712,0:43.7822748067;24:47.976766066;47:7.10403402863,0.01914132670478845,False,False
75,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.78932325637019,8.176087006703636,8.176087006703636,35.613236249666556,28.983642578125,0.25,0.002,21.161291122436523,1320.64208984375,43.79194641113281,7.617943286895752,36.17400312423706,28.983642578125,0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,47,0.6266666666666667,0.0005473350174725056,0.0042867474257946014,0.0038868866493410054,0.0,49.91252232045242,0:43.7893232564;24:49.9125223205;47:8.1760870067,0.028167699279396243,False,False
100,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.450101910356366,85.67941968550733,85.67941968550733,-42.22931777515096,7.558862686157227,0.25,0.002,9.44832706451416,1780.41748046875,43.468292236328125,85.97061157226562,-42.5023193359375,7.558862686157227,0.0008930603507906199,0.0008930603507906199,0.4465301753953099,0,63,0.63,0.012616051360964775,0.04361269250512123,0.04063887560180263,0.0,50.08024128788635,0:43.4501019104;24:50.0802412879;47:85.6794196855,0.022494177689638503,False,False
125,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.313936871236045,77.86253789449827,77.86253789449827,-34.54860102326223,-10.268462181091309,0.25,0.002,12.834516525268555,1931.5234375,43.30781555175781,78.06179809570312,-34.75398254394531,-10.268462181091309,-0.0012131925905123353,0.0012131925905123353,0.6065962952561677,0,63,0.504,0.005368709098547697,0.039719823747873306,0.03667396818668826,0.0,69.17002669986775,0:43.3139368712;24:69.1700266999;47:77.8625378945,0.013278238982943408,False,False
150,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,43.316383301329054,75.23621861840269,75.23621861840269,-31.919835317073634,-19.169784545898438,0.25,0.002,21.161291122436523,2395.651611328125,43.31459426879883,75.21678161621094,-31.90218734741211,-19.169784545898438,-0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,72,0.48,0.003437542589381337,0.03881567344069481,0.03533516221526581,0.0,76.55518248862033,0:43.3163833013;24:76.5551824886;47:75.2362186184,0.005239773173150434,False,False
175,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,40.15317428967303,70.00069315883914,70.00069315883914,-29.84751886916611,-24.027057647705078,0.25,0.002,21.161291122436523,2912.253173828125,40.481834411621094,70.5749282836914,-30.093093872070312,-24.027057647705078,-0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,97,0.5542857142857143,0.001694291946478188,0.036828283220529556,0.032880275172669095,0.0,69.95644513974935,0:40.1531742897;24:69.9564451397;47:70.0006931588,-0.0031408692951294787,False,False
200,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,41.338319226936434,62.65762253476524,62.65762253476524,-21.319303307828804,-24.17649269104004,0.25,0.002,21.161291122436523,3428.854736328125,41.319393157958984,62.66498947143555,-21.345596313476562,-24.17649269104004,-0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,122,0.61,0.00042570391087792814,0.03365665674209595,0.029428543644197024,0.0,66.32080231108344,0:41.3383192269;24:66.3208023111;47:62.6576225348,-0.009111472454788216,False,False
225,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,41.42403898754545,62.77744601242075,62.77744601242075,-21.353407024875295,-23.09810447692871,0.25,0.002,21.161291122436523,3945.456298828125,41.41757583618164,62.7819709777832,-21.364395141601562,-23.09810447692871,-0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,147,0.6533333333333333,0.0011570175411179662,0.03392381593585014,0.029485390526097312,0.0,27.137420726748935,0:41.4240389875;24:27.1374207267;47:62.7774460124,-0.014318077463513474,False,False
250,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,41.440855604451016,18.166936346169976,18.166936346169976,23.27391925828104,-18.073436737060547,0.25,0.002,21.161291122436523,4462.05810546875,41.43585968017578,23.085256576538086,18.350603103637695,-18.073436737060547,-0.0020000000949949026,0.0020000000949949026,1.0000000474974513,1,172,0.688,-0.009424895979464054,0.0139783825725317,0.008537574894026465,0.166351606805293,33.09012081661573,0:41.4408556045;24:33.0901208166;47:18.1669363462,-0.017047883043090316,False,False
