step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.999988317489624,1.0019539594650269,1.000066076176477,101574.71122509241,6.711225092411041,6.607617647695181e-05
10,0.9998584985733032,1.004794716835022,1.0002708110110934,101595.50573277473,27.505732774734497,0.00027081101109340043
15,0.9995144009590149,1.0070195198059082,1.0005772214919264,101626.62723249197,58.62723249197006,0.0005772214919262963
20,0.9989820718765259,1.0094428062438965,1.0009802406995305,101667.56108736992,99.56108736991882,0.0009802406995305492
25,0.9982904195785522,1.0118571519851685,1.0014700390986522,101717.3089311719,149.30893117189407,0.0014700390986520761
30,0.9974737763404846,1.0142618417739868,1.00203866069924,101775.0626899004,207.06268990039825,0.002038660699239901
35,0.9965656995773315,1.0166847705841064,1.0026812237395748,101840.32653278112,272.3265327811241,0.0026812237395747096
40,0.9956991672515869,1.0191066265106201,1.00339725895749,101913.05279779434,345.05279779434204,0.0033972589574899777
45,0.9949010610580444,1.0215330123901367,1.0041926593708124,101993.84002697468,425.84002697467804,0.004192659370812441
50,0.9940751194953918,1.0239628553390503,1.0050677308817433,102082.7192901969,514.7192901968956,0.005067730881743222
55,0.9932149052619934,1.0263968706130981,1.0060211673576125,102179.55792617798,611.5579261779785,0.006021167357612422
60,0.9923251271247864,1.028834581375122,1.0070517972321793,102284.23694127798,716.2369412779808,0.007051797232179238
65,0.9914102554321289,1.031275987625122,1.0081587377184487,102396.6666725874,828.6666725873947,0.008158737718448671
70,0.9904751777648926,1.033721923828125,1.0093413904272888,102516.78634291887,948.7863429188728,0.00934139042728884
75,0.9895246028900146,1.0361719131469727,1.010599162992942,102644.53578686714,1076.5357868671417,0.010599162992942085
80,0.9885784387588501,1.0386223793029785,1.0119264439868059,102779.3450628519,1211.3450628519058,0.011926443986805941
85,0.9877269268035889,1.0410605669021606,1.0132785148017236,102916.67219138145,1348.6721913814545,0.013278514801723519
90,0.986945390701294,1.0413931608200073,1.0144590305031829,103036.57481014729,1468.5748101472855,0.014459030503182946
95,0.9864245057106018,1.0406465530395508,1.0153210158580146,103124.12493866682,1556.1249386668205,0.015321015858014536
100,0.9866108298301697,1.0401400327682495,1.0159513410503571,103188.14580780268,1620.1458078026772,0.01595134105035717
105,0.9873371720314026,1.0390362739562988,1.0163683698881738,103230.50259280205,1662.5025928020477,0.01636836988817391
110,0.9884612560272217,1.0376756191253662,1.0165970986450787,103253.73411518335,1685.7341151833534,0.0165970986450787
115,0.9899357557296753,1.0360960960388184,1.0166585549340121,103259.97610753775,1691.9761075377464,0.016658554934012155
120,0.9916636347770691,1.034356713294983,1.0165670013897914,103250.67719715834,1682.6771971583366,0.016567001389791437
125,0.9935458898544312,1.032639980316162,1.0163337071370462,103226.98196649551,1658.981966495514,0.016333707137046252
130,0.9954541325569153,1.0310983657836914,1.01596140336696,103189.16781717539,1621.1678171753883,0.01596140336695995
135,0.9973628520965576,1.02959406375885,1.0154479216442696,103137.01450556517,1569.0145055651665,0.015447921644269518
140,0.9992785453796387,1.0279805660247803,1.0147913186227,103070.3246498704,1502.3246498703957,0.01479131862270002
145,1.0011996030807495,1.0263303518295288,1.0139907254275844,102989.01000022888,1421.0100002288818,0.013990725427584297
150,1.0031260251998901,1.0246338844299316,1.0130452197408932,102892.97687864304,1324.976878643036,0.013045219740893154
155,1.005053997039795,1.0228875875473022,1.0119539479341852,102782.13858377934,1214.138583779335,0.011953947934185324
160,1.006985068321228,1.0210728645324707,1.0107177580978484,102656.58125448227,1088.5812544822693,0.01071775809784843
165,1.007613182067871,1.019060492515564,1.0093596545450048,102518.64139282703,950.641392827034,0.009359654545004667
170,1.0062839984893799,1.016316533088684,1.0079837756580012,102378.89612603188,810.8961260318756,0.007983775658001296
175,1.0048586130142212,1.0128000974655151,1.006719173029037,102250.45296621323,682.4529662132263,0.006719173029036964
180,1.001133680343628,1.0146989822387695,1.0055847065763872,102135.2274775505,567.2274775505066,0.005584706576387313
185,0.9977477192878723,1.0166163444519043,1.0046047515323282,102035.6954036355,467.69540363550186,0.004604751532328114
190,0.9949994683265686,1.0185520648956299,1.003806645771877,101954.633397758,386.63339775800705,0.0038066457718770384
195,0.9930808544158936,1.0204602479934692,1.0031973648723627,101892.74995535612,324.74995535612106,0.0031973648723625657
200,0.991690993309021,1.021883487701416,1.0027701577292574,101849.35938024521,281.35938024520874,0.0027701577292573326
205,0.9907122850418091,1.0222995281219482,1.0024714652700062,101819.02178454399,251.0217845439911,0.0024714652700062135
210,0.9901819229125977,1.0219589471817017,1.0022489230847427,101796.41861987114,228.41861987113953,0.0022489230847426308
215,0.9897127151489258,1.021226167678833,1.0020724514507522,101778.49474895,210.49474895000458,0.0020724514507522505
220,0.9892047643661499,1.0203509330749512,1.0019326804155306,101764.29848444462,196.29848444461823,0.0019326804155306615
225,0.9887137413024902,1.019555687904358,1.0018345023855737,101754.32673829794,186.3267382979393,0.0018345023855735989
230,0.9883893728256226,1.0186983346939087,1.0017813681844896,101748.93000376225,180.93000376224518,0.001781368184489654
235,0.9880039691925049,1.0177035331726074,1.00176905565053,101747.67944431305,179.67944431304932,0.00176905565053018
240,0.9875996112823486,1.0166797637939453,1.0018003800697273,101750.86100292206,182.8610029220581,0.0018003800697272577
245,0.9873636960983276,1.0156291723251343,1.001893208449015,101760.28939574957,192.28939574956894,0.001893208449015132
250,0.9878705739974976,1.0145390033721924,1.002093421390941,101780.62462383509,212.62462383508682,0.002093421390940915
