actual,artifact_path,check,expected,pass,summary_key
True,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_smoke_matrix_pass,True,True,step80_runtime_geometry_diagnostic_only_smoke_matrix_pass
True,outputs/step80_runtime_geometry_diagnostic_only_quality/runtime_geometry_diagnostic_only_quality.json,step80_quality_pass,True,True,step80_runtime_geometry_diagnostic_only_quality_pass
True,outputs/step80_activation_guard/activation_guard.json,step80_activation_guard_pass,True,True,step80_runtime_geometry_diagnostic_only_activation_guard_pass
True,outputs/step80_output_guard/output_guard.json,step80_output_guard_pass,True,True,output_guard_pass
True,outputs/step80_step79_regression_guard/step79_regression_guard.json,step80_step79_regression_guard_pass,True,True,step80_step79_regression_guard_pass
True,outputs/step80_artifact_manifest/artifact_summary.json,step80_artifact_budget_pass,True,True,artifact_budget_pass
1,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_activation_feature_count,1,True,activation_feature_count
1,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_runtime_geometry_enabled_count,1,True,runtime_geometry_enabled_count
0,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_wall_velocity_enabled_count,0,True,wall_velocity_enabled_count
0,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_combined_runtime_geometry_wall_velocity_enabled_count,0,True,combined_runtime_geometry_wall_velocity_enabled_count
0,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_real_geometry_enabled_count,0,True,real_geometry_enabled_count
0,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_squid_proxy_enabled_count,0,True,squid_proxy_enabled_count
0,outputs/step80_runtime_geometry_diagnostic_only_smoke_matrix/runtime_geometry_diagnostic_only_smoke_matrix.json,step80_link_area_enabled_count,0,True,link_area_enabled_count
0,outputs/step80_artifact_manifest/artifact_summary.json,step80_vtr_count,0,True,step80_vtr_count
0,outputs/step80_artifact_manifest/artifact_summary.json,step80_particle_npy_count,0,True,step80_particle_npy_count
